Country,Year,Gender,Life Expectancy at birth,BMI,Alcohol,Tuberculosis,Syphilis,Chlamydia,Gonorrhoea,Trichomoniasis,Genital herpes,Other STDs,HIV/AIDS,Diarrhoeal diseases,Whooping cough,Diphtheria,Measles,Tetanus,Meningitis,Encephalitis,Acute hepatitis A,Acute hepatitis B,Acute hepatitis C,Acute hepatitis E,Malaria,African Trypanosomiasis,Chagas disease,Schistosomiasis,Leishmaniasis,lymphatic filariasis,Onchocerciasis,Cysticercosis,Echinococcosis,Dengue,Trachoma,Yellow fever,Rabies,Ascariasis,Trichuriasis,Hookworm disease,Food-bourne trematodes,Leprosy,Lower respiratory infections,Upper respiratory infections,Otitis media,Preterm birth complications,Birth asphyxia and birth trauma,Neonatal sepsis and infections,Other neonatal conditions,Protein-energy malnutrition,Iodine deficiency,Vitamin A deficiency,Iron-deficiency anaemia,Other nutritional deficiencies,Mouth and oropharynx cancers,Oesophagus cancer,Stomach cancer,Colon and rectum cancers,Liver cancer,Pancreas cancer,"Trachea, bronchus, lung cancers",Malignant skin melanoma,Non-melanoma skin cancer,Breast cancer,Cervix uteri cancer,Corpus uteri cancer,Ovary cancer,Prostate cancer,Testicular cancer,Kidney cancer,Bladder cancer,Brain and nervous system cancers,Gallbladder and biliary tract cancer,Larynx cancer,Thyroid cancer,Hodgkin lymphoma,Non-Hodgkin lymphoma,Multiple myeloma,Leukaemia,Diabetes mellitus,"Endocrine, blood, immune disorders",Depressive disorders,Bipolar disorder,Schizophrenia,Alcohol use disorders,Drug use disorders,Anxiety disorders,Eating disorders,Autism and Asperger syndrome,Childhood behavioural disorders,Idiopathic intellectual disability,Alzheimer disease and other dementias,Parkinson disease,Epilepsy,Multiple sclerosis,Migraine,Non-migraine headache,Other neurological conditions,Sense organ diseases,Rheumatic heart disease,Hypertensive heart disease,Ischaemic heart disease,Stroke,"Cardiomyopathy, myocarditis, endocarditis",Other circulatory diseases,Chronic obstructive pulmonary disease,Asthma,Peptic ulcer disease,Cirrhosis of the liver,Appendicitis,Gastritis and duodenitis,Paralytic ileus and intestinal obstruction,Inflammatory bowel disease,Gallbladder and biliary diseases,Pancreatitis,Kidney diseases,Benign prostatic hyperplasia,Urolithiasis,Other urinary diseases,Infertility,Gynecological diseases,Skin diseases,Rheumatoid arthritis,Osteoarthritis,Gout,Back and neck pain,Other musculoskeletal disorders,Neural tube defects,Cleft lip and cleft palate,Down syndrome,Congenital heart anomalies,Other chromosomal anomalies,Other congenital anomalies,Oral conditions,Sudden infant death syndrome,Road injury,Poisonings,Falls,"Fire, heat and hot substances",Drowning,Exposure to mechanical forces,Natural disasters,Other unintentional injuries,Self-harm,Interpersonal violence,Collective violence and legal intervention
Afghanistan,2019,Male,63.29,,0.003,4.454468811,0.050986112,0,0.000320594,0,0,0.000738431,0.315,2.936714905,1.033710776,0.009275193,0.1727033,0.663400481,1.429422422,0.542285322,0.819263445,0.525569463,0.013417724,0.005477361,0.088065415,0,0,0,0.00096378,0,0,0,0.319314533,0.0000421,0,0,0.068981515,0.009319345,0,0,0,0,7.897631561,0.005890784,0.000386322,6.921106079,5.870243835,3.1724729,1.550904907,0.194500103,0,0,0,0.008920655,0.9802752,0.752477695,0.861451703,0.452808377,0.384627614,0.146263598,0.779352548,0.023658673,0.057260751,0,0,0,0,0.257939434,0.065079092,0.141869835,0.210812452,0.489300988,0.049449222,0.14275465,0.014402762,0.109079274,0.440958322,0.037211958,0.341815431,1.524382911,0.687194122,0,0,0,0.115592673,0.200891525,0,0.00000768,0,0,0,0.782332922,0.342578502,0.546306891,0.034755284,0,0,0.115656146,0,0.384940431,3.255755856,20.80079568,7.870852114,0.275497194,1.205213622,2.384063793,1.420699018,0.757683862,2.441921713,0.168252406,0.025980594,0.30589583,0.037221099,0.116363889,0.102074853,3.119475891,0,0.00244116,0.065706683,0,0,0.047642653,0.006263343,0,0,0,0.04938624,0.465335818,0.002819013,0.066018355,0.907725329,0.054557262,1.181795053,0,0.241539114,4.852877182,0.057879683,0.62075095,0.151339067,0.801665441,1.545577332,0.067079101,2.008284222,0.904953833,2.59552149,12.84352618
Afghanistan,2019,Female,63.16,,0.022,5.384609924,0.043189858,0.001424279,0.004201241,0,0,0.00282011,0.148926341,2.618610136,1.07373829,0.007202717,0.177740792,0.590820327,1.196186066,0.64778982,0.261481444,0.337891146,0.014392965,0.004179357,0.097386371,0,0,0,0.000398102,0,0,0,0.2596835,0.0000763,0,0,0.011380243,0.00756119,0,0,0,0,6.751832001,0.003334138,0.000135687,5.709515533,4.852463074,2.619837646,1.222494904,0.394786857,0,0,0,0.017773887,0.48703111,0.56186664,0.639115845,0.288551108,0.272497547,0.083021012,0.296558871,0.02146111,0.042470067,1.822042652,0.540734726,0.288507096,0.369238243,0,0,0.091837836,0.061125337,0.335368767,0.093610178,0.041185689,0.030097134,0.064480256,0.26231176,0.032002155,0.268439624,4.225173155,0.676683229,0,0,0,0.03430106,0.127243299,0,0.0000379,0,0,0,0.982525382,0.284960488,0.446324614,0.049168421,0,0,0.061788429,0,0.65583376,4.739213875,19.39387735,11.18936987,0.251319171,1.241111739,2.26586974,1.98208732,0.747221301,2.157803877,0.130155229,0.016895475,0.296147721,0.030615316,0.214849635,0.104350187,3.470713985,0,0.005192175,0.0864342,0,0.002513457,0.046331921,0.019181119,0,0,0,0.087767807,0.36473061,0.012775143,0.07215444,0.846078563,0.044765709,0.981952343,0,0.195890608,1.18028558,0.325711418,0.284561808,0.196666442,0.194388727,0.056228865,0.067359999,1.233209938,0.667652631,0.621160048,12.77603854
Afghanistan,2015,Male,61.04,22.5,0.002,6.109258301,0.05666638,0,0.000277253,0,0,0.000616425,0.238,3.883813096,1.154323592,0.013842629,0.872226578,0.936796257,1.69832766,0.459666637,0.873011731,0.49811696,0.013283553,0.005220395,0.084207842,0,0,0,0.000862311,0,0,0,0.389015331,0.0000382,0,0,0.074105268,0.012211883,0,0,0,0,8.64469149,0.006164838,0.000520085,8.487918549,7.271455658,3.836993652,1.930970001,0.261639364,0,0,0,0.009543676,0.862796566,0.662031187,0.774754996,0.380547149,0.339199364,0.120252746,0.682836054,0.020909319,0.048481305,0,0,0,0,0.218679928,0.051713244,0.119113051,0.183664274,0.416583016,0.043616767,0.127186842,0.01194657,0.098948992,0.377002962,0.032268201,0.290145938,1.281742477,0.634116759,0,0,0,0.098770161,0.177452093,0,0.00000546,0,0,0,0,0.64505162,0.288207525,0.514551482,0.028783742,0,0,0.103746396,0,0.361778445,2.858270054,18.31639706,7.01358115,0.236364046,1.054113777,2.142185734,1.372931124,0.729065958,2.173820113,0.161159805,0.023422059,0.307727126,0.031935576,0.101528385,0.089453011,2.753870118,0,0.00203357,0.056612656,0,0,0.040242076,0.005284118,0,0,0,0.040197743,0.551909234,0.00337729,0.070196403,0.98573457,0.072310082,1.330748924,0,0.303414007,3.980982903,0.056827987,0.570411929,0.151664938,0.769095724,1.382456317,0.286632896,0.768235515,2.553343933,16.77140381
Afghanistan,2015,Female,62.35,24,0.014,7.384937225,0.047379441,0.001201271,0.003568432,0,0,0.002404385,0.104999999,3.385603096,1.118533112,0.010201784,0.825727504,0.815676082,1.40385983,0.553732296,0.275774954,0.324563329,0.015029631,0.004146013,0.089155869,0,0,0,0.000344546,0,0,0,0.303527334,0.0000661,0,0,0.011880172,0.009301423,0,0,0,0,7.285387844,0.003354189,0.000152038,6.912942078,5.922059128,3.12087915,1.510162903,0.466722046,0,0,0,0.017670121,0.416312448,0.500061357,0.596298002,0.244010478,0.253052161,0.064514857,0.239763082,0.019983644,0.035382095,1.517468718,0.487083014,0.246369326,0.299306271,0,0,0.075588173,0.05344352,0.272907973,0.083790875,0.036303517,0.027287678,0.057794668,0.234850978,0.028820058,0.260442634,3.38631783,0.600090382,0,0,0,0.030970228,0.111355278,0,0.0000285,0,0,0,0.808600579,0.230915636,0.408465256,0.040734342,0,0,0.049902804,0,0.606927051,4.027631454,16.38717032,9.646481935,0.218060825,1.050719732,1.936386757,1.805899737,0.692493361,1.885174566,0.119946047,0.014350741,0.292610652,0.025914215,0.182881837,0.090381601,2.931978365,0,0.004168314,0.071891329,0,0.002243996,0.037896879,0.015688533,0,0,0,0.069939506,0.434127709,0.015833086,0.078328154,0.888078786,0.051010167,1.065610976,0,0.260230899,0.961441754,0.310311194,0.322668605,0.183146798,0.251741148,0.052140549,0.172981322,1.20384274,0.59740149,0.576236759,7.570893036
Afghanistan,2010,Male,59.6,22.1,0.006,5.652315277,0.051922148,0,0.000242791,0,0,0.000609453,0.156,5.276096319,1.221495833,0.047515204,1.940501709,1.622328312,2.575362751,0.456650028,1.09710387,0.519827241,0.015235928,0.005241853,0.081976625,0,0,0,0.001607811,0,0,0,0.627712521,0.0000413,0,0,0.106203286,0.017207966,0,0,0,0,11.25061259,0.007122636,0.001068399,9.010966919,8.676687225,4.424191406,2.217775513,0.373173428,0,0,0,0.012308007,0.738888512,0.562746921,0.692992537,0.29920144,0.283920127,0.090040433,0.575283165,0.017987107,0.039147661,0,0,0,0,0.175958694,0.043074125,0.095875446,0.151853375,0.40991125,0.037230898,0.112062145,0.010690257,0.092165948,0.325451717,0.026854179,0.321422982,1.045921798,0.623676216,0,0,0,0.087514381,0.140543584,0,0.00000435,0,0,0,0.532144902,0.245824491,0.552847322,0.024339222,0,0,0.094604781,0,0.379618877,2.524371859,16.68394992,6.490832687,0.212817636,0.962793968,2.00936444,1.439983181,0.753933662,2.02553167,0.184343236,0.021665169,0.292309079,0.027209966,0.091007047,0.079747136,2.425604023,0,0.00183353,0.052759516,0,0,0.03391275,0.004498779,0,0,0,0.035242857,0.695706652,0.004282314,0.081390714,1.012635844,0.081438268,1.383869559,0,0.320449847,3.30646419,0.087784947,0.697883047,0.235375984,1.370171935,1.611014042,0.219533274,2.513913216,0.692336002,2.23372966,5.684717804
Afghanistan,2010,Female,60.3,23.4,0.042,6.681425598,0.044083591,0.001053396,0.003083031,0,0,0.002122206,0.070656047,4.760638063,1.277265829,0.037804248,1.990745235,1.439302908,2.202520164,0.575930092,0.368673393,0.373416376,0.020511482,0.004729458,0.088291322,0,0,0,0.000661603,0,0,0,0.441192814,0.0000625,0,0,0.016245256,0.013638215,0,0,0,0,9.788012451,0.004646081,0.000262048,7.444175629,7.162337891,3.645961182,1.779169495,0.64871294,0,0,0,0.020062882,0.3461889,0.438059295,0.509865421,0.189138031,0.215653874,0.045090529,0.179044421,0.016867091,0.028054504,1.207143906,0.4316942,0.198155018,0.234086879,0,0,0.062737945,0.044910177,0.270533527,0.072091885,0.030784262,0.022491465,0.049675762,0.18366779,0.024132579,0.252595604,2.575617522,0.600536039,0,0,0,0.028496055,0.08351693,0,0.0000199,0,0,0,0.65422833,0.185811451,0.45512414,0.035809646,0,0,0.043869743,0,0.613344528,3.488136074,14.32161279,8.583619893,0.202675566,0.934629644,1.74701944,1.802809898,0.704316339,1.813439426,0.137527472,0.012509597,0.28023269,0.022567613,0.161300456,0.08130832,2.533257908,0,0.00360238,0.064168048,0,0.002320842,0.03132784,0.013147278,0,0,0,0.057760496,0.595594685,0.025474626,0.095015323,0.951948153,0.055761559,1.114969588,0,0.281959741,0.901237445,0.417174348,0.619262026,0.233198405,0.727940174,0.070491739,0.137333838,1.827513344,0.552652489,0.404688915,2.777301308
Afghanistan,2000,Male,54.57,21.3,0.009,6.370347397,0.046049836,0,0.000156267,0,0,0.000369008,0.047,7.757009786,0.88703179,0.08874445,6.153838501,6.541519893,3.058222095,0.309965631,1.829511837,0.768046818,0.026206597,0.007266121,0.472009965,0,0,0,0.07026103,0,0,0,0.701783367,0.0000473,0,0,0.084358358,0.01673195,0,0,0,0,13.23349173,0.004811757,0.001503806,9.816391907,9.140328766,2.727631592,1.875977173,0.487519832,0,0,0,0.011976071,0.590766734,0.432780905,0.53764865,0.193007479,0.218041154,0.054461697,0.414497249,0.014184476,0.024997093,0,0,0,0,0.120380702,0.021101393,0.061541777,0.110291958,0.279444754,0.027219091,0.085769393,0.006577283,0.073395218,0.223824932,0.020066837,0.213218715,0.666836718,0.42697149,0,0,0,0.073527797,0.083626222,0,0.00000196,0,0,0,0.373477372,0.185426865,0.475120496,0.017466876,0,0,0.061287647,0,0.368095306,1.904035385,14.58849065,5.501336457,0.165393188,0.687093958,1.650542079,1.462851723,0.664380174,1.630962715,0.167065712,0.012980979,0.210151334,0.017764029,0.062042483,0.060799495,1.820144356,0,0.00079872,0.031566151,0,0,0.019314774,0.00250085,0,0,0,0.022071203,0.70274061,0.002611815,0.040642966,0.774802555,0.02980751,1.129493681,0,0.321228642,2.380401958,0.077868373,0.519645853,0.201763215,1.08196545,1.165209129,0,2.034185463,0.537208818,1.786524821,4.001295639
Afghanistan,2000,Female,55.42,22.1,0.06,7.700544891,0.039459196,0.000651146,0.001904667,0,0,0.00134134,0.016683248,6.981947523,0.978765495,0.075167675,6.577170605,5.572134817,2.653265354,0.453184722,0.37850317,0.400001537,0.025521558,0.005212027,0.498990025,0,0,0,0.028650289,0,0,0,0.479554375,0.0000494,0,0,0.011577746,0.013566841,0,0,0,0,11.52144147,0.00318174,0.000339353,8.131090393,7.581184326,2.25842334,1.544132324,0.768324266,0,0,0,0.015967735,0.257709382,0.352672086,0.385307821,0.12192396,0.168235641,0.023829677,0.108052992,0.013103326,0.015270025,0.854362883,0.368332803,0.130121316,0.145777112,0,0,0.035546223,0.03351838,0.174246851,0.05575965,0.022802852,0.015360478,0.038823449,0.12988256,0.01750485,0.176100599,1.394314525,0.379489809,0,0,0,0.025687322,0.049646306,0,0.000012,0,0,0,0.423241813,0.117204336,0.378721351,0.022642911,0,0,0.023022592,0,0.569790351,2.45878071,11.01707376,6.664213385,0.159007573,0.622810406,1.245225591,1.621614889,0.617263331,1.397053118,0.120939703,0.005632036,0.208982188,0.013787682,0.099422505,0.055771297,1.704644028,0,0.001557307,0.037250908,0,0.001273041,0.014998608,0.007719064,0,0,0,0.032765336,0.611706987,0.029794204,0.052304506,0.687491747,0.024707008,0.92147096,0,0.287718477,0.663948594,0.358928543,0.407584665,0.180511767,0.622626856,0.047653168,0,1.529516445,0.482996039,0.245428368,1.902803875
Albania,2019,Male,76.25,,11.02,0.005686182,0.000397244,0,0.0000129,0,0,0.00000671,0.024,0.003796673,0.000341386,0.0000113,0.0000682,0.001563494,0.007383926,0.01065472,0.0000269,0.000351753,0.0000655,0.0000127,0,0,0,0,0.000555153,0,0,0,0.00000185,0,0,0,0.000000141,0,0,0,0,0,0.290988678,0.006114369,0.0000246,0.06015138,0.018233625,0.005576771,0.009315338,0.001104022,0,0,0,0.000471257,0.057890776,0.043831406,0.356615528,0.116622772,0.264623519,0.163591114,0.866585442,0.012966259,0.027113636,0,0,0,0,0.310725125,0.008727065,0.090729873,0.263892584,0.154559289,0.007391085,0.080370424,0.005065772,0.010511449,0.018772547,0.020088306,0.077679206,0.089746232,0.045725951,0,0,0,0.013333635,0.018251512,0,0.000000296,0,0,0,0.50575818,0.186713298,0.020832932,0.019920418,0,0,0.035217686,0,0.019572915,0.157326542,4.023249099,3.449556818,0.224604483,0.413640862,0.477475958,0.124507485,0.021983355,0.221669134,0.002051097,0.000850712,0.014192469,0.005197829,0.011100723,0.017186625,0.199239927,0,0.000395728,0.025230298,0,0,0.002795996,0.005165308,0,0,0,0.005865563,0.003925362,0.0000156,0.001065505,0.033569954,0.00282868,0.015076101,0,0.00099987,0.258880596,0.005704993,0.064578789,0.008442896,0.019980601,0.034042963,0.033273096,0.070417828,0.087084142,0.072843799,0.000188168
Albania,2019,Female,79.91,,2.53,0.00274174,0.000422206,0.000119518,0.000340885,0,0,0.000120893,0.001605027,0.005489791,0.001035675,0.00000806,0.000120649,0.001171022,0.006386542,0.008941395,0.000028,0.000141108,0.0000681,0.0000133,0,0,0,0,0.000267041,0,0,0,3.41E-08,0,0,0,1.60E-09,0,0,0,0,0,0.342770546,0.006061072,0.0000252,0.046230596,0.014092923,0.004130957,0.007059686,0.001498164,0,0,0,0.001320666,0.031643115,0.007717526,0.136572765,0.080386842,0.169134381,0.061043924,0.159720201,0.010471635,0.013100368,0.2294163,0.047802423,0.041920818,0.039471163,0,0,0.021459699,0.065882608,0.090738765,0.034080419,0.010643278,0.007756704,0.006672569,0.005981426,0.006742391,0.053699046,0.118747586,0.045037047,0,0,0,0.005069489,0.006887698,0,0.00000354,0,0,0,1.321325634,0.181825431,0.023257495,0.018818982,0,0,0.047719761,0,0.03067645,0.267891071,4.773985993,5.34073352,0.240233163,0.541024858,0.398931553,0.06810386,0.034894666,0.15439602,0.003239509,0.001253217,0.032353571,0.009968193,0.023097187,0.018138239,0.199289966,0,0.000182785,0.008694088,0,0.004404085,0.003174341,0.005900935,0,0,0,0.033298675,0.002879037,0.000018,0.000889339,0.029528111,0.003168825,0.009474807,0,0.000421086,0.078180776,0.00324669,0.060401792,0.011215381,0.005423111,0.008541312,0.020578354,0.035054557,0.037884598,0.029722111,0.000153379
